,paper_id,data_types,methods
244,https___doi.org_10.3386_w20352,"wind speed, GDP per capita, log GDP per capita, p-values, satellite-based observations, ground-based observations, ship-based observations, aerial-based observations","reanalysis techniques, differences-in-differences approach, statistical prediction for storm's inner core, structural model of surface winds, LICRICE model"
245,https___doi.org_10.3386_w20750,"weather station data, county-by-year observations, income data, Regional Economic Information System (REIS) data, Bureau of Economic Analysis (BEA) data","panel data regression, augmented regression, time-series analysis, fixed effects estimation, reduced-form estimation"
246,https___doi.org_10.3386_w26167,"Gross State Product (GSP) data, nominal GSP data, real GSP series, consumer price index (CPI), state-level economic activity data, sectoral output data, annual growth rates, employment data.","FE, HPJ-FE, regression analysis, moving averages, historical norms, 20 year MA, 30 year MA, 40 year MA."
247,https___doi.org_10.3389_fenrg.2021.739721,"energy consumption data, CO2 emissions data, globalization index, economic growth data, natural resources rents, GDP per capita data, renewable energy consumption per capita data","FMOLS, AMG, CCEMG, non-linear ARDL, wavelets tools, Toda-Yamamoto Granger causality, pooled mean group"
248,https___doi.org_10.3389_fenvs.2022.879681,"Publicly available datasets, panel data, annual and unbalanced data, CO2 emissions data, average temperatures data","Simultaneous equations model, regression analysis, endogenous problems analysis."
249,https___doi.org_10.3389_fhumd.2023.1121662,"growth rates, GDP per capita, prevalence of undernourishment, country-speciﬁc data, environmental features, socio-economic indicators","robust ordinary least squares (OLS) method with MM-estimation, fully modified ordinary least squares (FMOLS) cointegration approach, difference-in-differences (DiD) estimation, unit root test."
250,https___doi.org_10.3389_fnsys.2015.00151,"experimental data, blood oxygen level data, spike-based data, temporal variability data, interspike intervals data","Information theory, decoding approaches, predictive coding, functional interpretation, spike-based calculations, rate-based calculus, algebra defined on continuous values, standard algebra, linear and nonlinear operations on images."
251,https___doi.org_10.4310_cms.2010.v8.n1.a10,"lattice sites, number of sites, mean, standard deviation, probability, area fractions, CAPE, dryness parameters, transition rates","stochastic birth-death system, numerical integration, deterministic one-column model"
252,https___doi.org_10.5194_acp-12-2117-2012,"MODIS fire count, satellite data, precipitation data, ENSO index, MJO phase, meteorological indices, fire hotspot activity, smoke optical depth, normalized fire signal, normalized precipitation signal, 90-day average precipitation.","bulk analysis, detailed analysis, hand analysis, MODIS Fire Count, ratio of MODIS fire detections"
253,https___doi.org_10.5194_gmd-14-5269-2021,"climate model data, observational daily data, temperature data, precipitation data, surface downwelling shortwave radiation data","trend-preserving bias adjustment, statistical down-scaled climate input data, process-based impact models, counterfactual climate dataset."
254,https___doi.org_10.5194_hess-18-2735-2014,"time series, documentary sources, historical flood data, systematic flood records, instrumental data","information-theoretical measures, empirical mode decomposition, maximum entropy spectral methods, spectral decomposition, embedded phase space reconstruction"
255,https___doi.org_10.5194_hess-19-3667-2015,"numerical records, pictorial information, archaeological information, historical maps, tree-ring data, sedimentation data, tax records, oral histories","statistical–empirical analyses, empirical modeling, analytical techniques, long-term data sets, numerical records, pictorial information, archaeological information, sedimentation analysis, climate reconstruction with tree-ring data, methodology for the analysis of historical maps, evaluation of causal relationships (information theory, synchronicity and time delays, entropy-based measures), attractor reconstruction, recurrence metrics, object-oriented occurrences of ""patterns"" in time series."
256,https___doi.org_10.5194_wcd-1-261-2020,"reanalysis datasets, code availability, ERA-Interim data, supplement","Causal Effect Networks (CEN), regression analysis, Pearson correlations, partial correlations, multiple regressions, causal inference framework."
257,https___doi.org_10.5751_es-06528-190268,"Historical flood & drought records, lake surface area variations, dust storms, ice cores, lake sediment","Granger Causality Analysis, regression analysis, time-series analysis, Augmented Dickey-Fuller test, differencing, vector autoregressive models"
258,https___doi.org_10.5751_es-11103-240334,"statistical analysis, measurable features, non-numeric information, qualitative classification, expert assessments, stakeholder assessments, quantitative comparative analysis, simulation models, machine learning algorithms, deep learning, reinforcement learning, archetype studies, training data set, validated training data, indicator combinations, high-dimensional data sets, pattern detection, nonlinear patterns","qualitative classification, expert and stakeholder assessments, qualitative comparative analysis, qualitative simulation models, rule-based classification, machine learning algorithms, system dynamics modeling, cluster analysis, process-centered meta-analysis, t-SNE."
